TractFIPS,variable,value,year
13121002500,BPHIGH_CrudePrev,38.5,2020
13121002600,BPHIGH_CrudePrev,40.1,2020
13121002800,BPHIGH_CrudePrev,20.1,2020
13121002900,BPHIGH_CrudePrev,25.0,2020
13121003000,BPHIGH_CrudePrev,16.7,2020
13121003100,BPHIGH_CrudePrev,24.5,2020
13121003200,BPHIGH_CrudePrev,16.0,2020
13121003500,BPHIGH_CrudePrev,34.5,2020
13121003600,BPHIGH_CrudePrev,34.0,2020
13121003800,BPHIGH_CrudePrev,16.7,2020
13121003900,BPHIGH_CrudePrev,44.7,2020
13121004000,BPHIGH_CrudePrev,46.8,2020
13121004100,BPHIGH_CrudePrev,42.4,2020
13121004200,BPHIGH_CrudePrev,46.0,2020
13121004300,BPHIGH_CrudePrev,19.8,2020
13121004400,BPHIGH_CrudePrev,37.5,2020
13121004800,BPHIGH_CrudePrev,41.1,2020
13121004900,BPHIGH_CrudePrev,25.4,2020
13121005000,BPHIGH_CrudePrev,22.0,2020
13121005200,BPHIGH_CrudePrev,20.2,2020
13121005300,BPHIGH_CrudePrev,20.3,2020
13121005501,BPHIGH_CrudePrev,34.6,2020
13121005502,BPHIGH_CrudePrev,39.5,2020
13121005700,BPHIGH_CrudePrev,44.7,2020
13121005800,BPHIGH_CrudePrev,38.8,2020
13121006000,BPHIGH_CrudePrev,46.2,2020
13121006100,BPHIGH_CrudePrev,48.8,2020
13121006200,BPHIGH_CrudePrev,44.0,2020
13121006300,BPHIGH_CrudePrev,43.6,2020
13121006400,BPHIGH_CrudePrev,33.6,2020
13121006500,BPHIGH_CrudePrev,42.1,2020
13121006601,BPHIGH_CrudePrev,39.6,2020
13121006602,BPHIGH_CrudePrev,47.7,2020
13121006700,BPHIGH_CrudePrev,41.7,2020
13121006801,BPHIGH_CrudePrev,31.4,2020
13121006802,BPHIGH_CrudePrev,40.2,2020
13121006900,BPHIGH_CrudePrev,27.4,2020
13121007001,BPHIGH_CrudePrev,45.7,2020
13121007002,BPHIGH_CrudePrev,37.9,2020
13121007100,BPHIGH_CrudePrev,46.4,2020
13121007200,BPHIGH_CrudePrev,45.3,2020
13121007300,BPHIGH_CrudePrev,43.3,2020
13121007400,BPHIGH_CrudePrev,46.6,2020
13121007500,BPHIGH_CrudePrev,45.9,2020
13121007602,BPHIGH_CrudePrev,46.8,2020
13121007603,BPHIGH_CrudePrev,50.0,2020
13121007604,BPHIGH_CrudePrev,42.6,2020
13121007703,BPHIGH_CrudePrev,44.8,2020
13121007704,BPHIGH_CrudePrev,40.0,2020
13121007705,BPHIGH_CrudePrev,48.0,2020
13121007706,BPHIGH_CrudePrev,37.4,2020
13121007802,BPHIGH_CrudePrev,43.1,2020
13121007805,BPHIGH_CrudePrev,43.8,2020
13121007806,BPHIGH_CrudePrev,44.6,2020
13121007807,BPHIGH_CrudePrev,43.9,2020
13121007808,BPHIGH_CrudePrev,42.3,2020
13121007900,BPHIGH_CrudePrev,44.9,2020
13121008000,BPHIGH_CrudePrev,46.9,2020
13121008101,BPHIGH_CrudePrev,51.6,2020
13121008102,BPHIGH_CrudePrev,46.9,2020
13121008201,BPHIGH_CrudePrev,47.3,2020
13121008202,BPHIGH_CrudePrev,47.9,2020
13121008301,BPHIGH_CrudePrev,47.4,2020
13121008302,BPHIGH_CrudePrev,50.1,2020
13121008400,BPHIGH_CrudePrev,45.1,2020
13121008500,BPHIGH_CrudePrev,46.2,2020
13121008601,BPHIGH_CrudePrev,45.5,2020
13121008602,BPHIGH_CrudePrev,38.3,2020
13121008700,BPHIGH_CrudePrev,39.3,2020
13121008800,BPHIGH_CrudePrev,20.3,2020
13121008902,BPHIGH_CrudePrev,16.1,2020
13121008903,BPHIGH_CrudePrev,19.4,2020
13121008904,BPHIGH_CrudePrev,19.3,2020
13121009000,BPHIGH_CrudePrev,17.4,2020
13121009101,BPHIGH_CrudePrev,18.7,2020
13121009102,BPHIGH_CrudePrev,23.2,2020
13121009200,BPHIGH_CrudePrev,20.2,2020
13121009300,BPHIGH_CrudePrev,20.4,2020
13121009402,BPHIGH_CrudePrev,13.9,2020
13121009403,BPHIGH_CrudePrev,20.5,2020
13121009404,BPHIGH_CrudePrev,20.3,2020
13121009501,BPHIGH_CrudePrev,29.4,2020
13121009502,BPHIGH_CrudePrev,30.8,2020
13121009601,BPHIGH_CrudePrev,15.7,2020
13121009602,BPHIGH_CrudePrev,24.2,2020
13121009603,BPHIGH_CrudePrev,20.4,2020
13121009700,BPHIGH_CrudePrev,27.8,2020
13121009801,BPHIGH_CrudePrev,30.4,2020
13121009802,BPHIGH_CrudePrev,25.7,2020
13121009900,BPHIGH_CrudePrev,22.2,2020
13121010001,BPHIGH_CrudePrev,22.6,2020
13121010002,BPHIGH_CrudePrev,24.0,2020
13121010114,BPHIGH_CrudePrev,23.6,2020
13121010211,BPHIGH_CrudePrev,23.1,2020
13121010303,BPHIGH_CrudePrev,38.9,2020
13121011800,BPHIGH_CrudePrev,28.4,2020
13121011900,BPHIGH_CrudePrev,27.7,2020
13121012000,BPHIGH_CrudePrev,41.8,2020
13089020100,BPMED_CrudePrev,70.0,2020
13089020200,BPMED_CrudePrev,69.5,2020
13089020300,BPMED_CrudePrev,66.4,2020
13089020400,BPMED_CrudePrev,62.3,2020
13089020500,BPMED_CrudePrev,76.0,2020
13089020600,BPMED_CrudePrev,69.1,2020
13089020700,BPMED_CrudePrev,73.0,2020
13089020801,BPMED_CrudePrev,74.7,2020
13089020802,BPMED_CrudePrev,76.8,2020
13089020900,BPMED_CrudePrev,75.4,2020
13089023700,BPMED_CrudePrev,76.4,2020
13121000100,BPMED_CrudePrev,72.7,2020
13121000200,BPMED_CrudePrev,71.3,2020
13121000400,BPMED_CrudePrev,75.3,2020
13121000500,BPMED_CrudePrev,67.3,2020
13121000600,BPMED_CrudePrev,50.5,2020
13121000700,BPMED_CrudePrev,63.3,2020
