TractFIPS,interDen,sidewalkDen,stopDen,aadt_sum_2017,aadt_avg_2017,ht_ami_2017,h_ami_2017,t_ami_2017,co2_hh_2017,autos_hh_ami_2017,vmt_hh_ami_2017,transit_trips_ami_2017,inter_ct,blk_avg_sqmi,sidewalk_sum_ft,stop_ct,area_sqmi
13121009403,37.35819683,0.983860471,37.35819683,222400,55600,40,23,16,4.71,1.22,13619,684,16,0.04436637,2363.906588,17,0.455054083
13121009404,15.01587901,0.294759258,15.01587901,60,60,52,33,19,6.13,1.46,16255,491,54,0.02876939,1243.746076,12,0.799154015
13121009502,13.86443561,0.079244924,13.86443561,33700,16850,39,23,19,5.34,1.47,17177,308,60,0.0378314,301.7887463,10,0.721269894
13121009601,37.80733405,0.088839136,37.80733405,96400,32133.33333,53,36,18,5.92,1.34,15981,511,26,0.04007466,148.8823803,12,0.317398735
13121009602,18.53166356,2.874234393,18.53166356,67290,13458,62,44,18,4.85,1.39,15874,585,76,0.02002131,13921.64258,17,0.917348836
13121009603,20.68294699,0.645319756,20.68294699,23470,11735,52,34,18,5.38,1.37,15553,507,92,0.0131091,2471.084431,15,0.725235142
13121009801,12.30836285,0,12.30836285,314980,19686.25,83,61,22,7.73,1.79,20736,131,124,0.06321012,0,27,2.193630487
13121009802,1.929254572,0.863729447,1.929254572,476680,34048.57143,86,64,22,7.83,1.73,20373,80,164,0.16354944,18910.88957,8,4.1466793
13121010001,11.41596194,1.040751848,11.41596194,390870,30066.92308,57,37,20,6.49,1.59,18714,371,78,0.05531205,8664.449347,18,1.576739664
13121010002,4.478593348,0.71994011,4.478593348,140260,17532.5,85,64,21,7.62,1.63,19042,329,222,0.0427139,9336.437802,11,2.45612833
13121010114,7.01083473,0,7.01083473,51270,12817.5,54,34,20,7.3,1.56,18396,181,106,0.05109226,0,11,1.569000044
13121006601,61.77421215,3.634717192,61.77421215,50200,12550,43,22,21,7.43,1.66,18117,416,100,0.01469735,14601.41859,47,0.76083528
13121007001,31.78720946,0,31.78720946,337880,37542.22222,40,19,21,5.58,1.67,18847,166,146,0.03324511,0,56,1.761714883
13121001100,82.45979232,45.42818175,82.45979232,51400,17133.33333,47,31,16,4.64,1.21,14104,725,38,0.02855539,43632.30542,15,0.181906837
13121001400,28.65939808,19.21231714,28.65939808,9230,4615,50,32,18,5.44,1.46,15617,301,42,0.01124606,28316.2966,8,0.279140545
13121001800,39.54259365,31.90850634,39.54259365,392610,78522,37,21,16,4.1,1.22,13616,585,38,0.01398869,59648.9966,14,0.354048602
13121003200,14.60602653,39.25930321,14.60602653,34810,11603.33333,46,27,19,6.35,1.45,16204,475,75,0.00969602,85152.13393,6,0.41078934
