housing_total,housing_pc_vacant,housing_pc_owneroccupied,housing_pc_renteroccupied,housing_medval,housing_medgrossrent,housing_pc_renttoinc_3034,housing_pc_renttoinc_over35,TractFIPS
2785.0,8.0,24.9,75.1,171500.0,855.0,15.3,36.7,13121008700
2123.0,18.4,82.1,17.9,1077400.0,1652.0,11.6,17.5,13121009501
3318.0,8.6,25.2,74.8,221200.0,1298.0,14.5,33.2,13121009403
2685.0,11.2,60.4,39.6,371300.0,1476.0,17.7,24.1,13121009404
2985.0,24.5,44.7,55.3,198400.0,1398.0,1.4,28.1,13121009502
1660.0,15.2,33.0,67.0,385400.0,1713.0,10.0,20.9,13121009601
3604.0,13.7,48.4,51.6,529600.0,1755.0,7.7,40.3,13121009602
3735.0,17.8,41.6,58.4,438400.0,1448.0,4.8,28.0,13121009603
2456.0,14.3,65.6,34.4,911300.0,1301.0,18.0,31.0,13121009801
2133.0,14.0,60.4,39.6,1472700.0,1802.0,2.6,34.1,13121009802
3166.0,21.4,68.7,31.3,407700.0,1511.0,1.9,64.2,13121010001
4719.0,15.0,57.9,42.1,813100.0,1803.0,5.3,28.1,13121010002
3467.0,16.5,18.2,81.8,481200.0,1343.0,11.9,36.2,13121010113
1241.0,2.9,56.7,43.3,735300.0,1777.0,5.3,28.9,13121010115
3321.0,5.5,45.7,54.3,556900.0,1344.0,5.8,48.2,13121010114
2025.0,3.1,14.9,85.1,182200.0,1322.0,9.0,31.8,13121010117
2461.0,12.1,26.0,74.0,384700.0,1184.0,8.0,46.1,13121010118
2597.0,7.3,25.9,74.1,198800.0,1301.0,9.0,41.4,13121010119
1250.0,10.2,34.6,65.4,166900.0,1471.0,2.9,26.4,13121010120
1310.0,9.7,68.6,31.4,353800.0,1185.0,8.7,31.0,13121010121
999.0,30.0,59.4,40.6,152900.0,1037.0,14.1,53.0,13121006601
1893.0,24.0,38.6,61.4,93800.0,894.0,13.7,59.2,13121007001
4607.0,25.5,45.7,54.3,320900.0,1922.0,4.1,18.0,13121001100
1525.0,7.7,40.1,59.9,468300.0,1485.0,5.3,31.6,13121001400
3301.0,6.8,35.3,64.7,171600.0,1021.0,12.4,28.9,13121001800
1509.0,15.4,67.8,32.2,317000.0,1467.0,11.4,22.9,13121003200
977.0,12.2,33.2,66.8,191400.0,1072.0,11.0,20.1,13121003600
0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13121006801
2483.0,21.0,65.3,34.7,370600.0,1303.0,18.8,36.2,13121008800
2973.0,20.8,21.8,78.2,113400.0,984.0,13.6,51.8,13121010512
5445.0,11.0,45.7,54.3,122700.0,1040.0,10.8,47.2,13121010513
1823.0,13.3,38.6,61.4,250600.0,729.0,14.5,38.1,13121010601
1952.0,33.4,33.8,66.2,118600.0,953.0,13.9,49.0,13121010604
2328.0,32.0,36.9,63.1,142500.0,1045.0,3.3,44.0,13121011202
417.0,16.8,70.0,30.0,295600.0,1293.0,0.0,39.4,13121000700
2487.0,11.6,38.0,62.0,441500.0,1267.0,5.9,30.4,13121001300
371.0,38.0,5.2,94.8,78600.0,836.0,3.5,57.6,13121003800
1333.0,24.2,40.1,59.9,119900.0,1037.0,9.1,57.7,13121004000
1643.0,11.4,22.8,77.2,141300.0,364.0,15.4,34.7,13121004200
1347.0,17.7,65.9,34.1,331000.0,1167.0,4.0,34.1,13121004900
1767.0,17.8,11.0,89.0,153000.0,1385.0,10.9,44.0,13121002800
619.0,9.0,0.9,99.1,-666666666.0,904.0,6.8,43.1,13121004800
1843.0,9.1,71.5,28.5,380000.0,1361.0,0.0,44.5,13121005300
515.0,2.5,65.7,34.3,104700.0,1358.0,0.0,45.8,13121008101
6913.0,7.1,49.3,50.7,141500.0,1057.0,9.7,50.5,13121010510
3597.0,21.0,52.4,47.6,364700.0,1445.0,8.1,33.9,13121000500
1550.0,16.5,31.8,68.2,568500.0,1557.0,13.3,17.8,13121001600
1057.0,11.9,40.9,59.1,413800.0,1070.0,3.1,45.3,13121003100
1223.0,20.0,36.3,63.7,254600.0,1011.0,8.7,48.2,13121005501
1500.0,3.5,96.9,3.1,380900.0,2444.0,21.4,78.6,13089021912
1303.0,3.2,90.7,9.3,460300.0,1931.0,8.5,0.0,13089021604
2345.0,6.2,52.5,47.5,136600.0,980.0,3.0,63.8,13089021910
2496.0,20.8,4.7,95.3,85000.0,968.0,13.6,46.6,13089021913
2219.0,17.5,9.2,90.8,66700.0,1011.0,6.2,40.4,13089022009
682.0,4.4,62.1,37.9,161200.0,1167.0,14.6,40.1,13089022010
1303.0,10.2,20.1,79.9,281800.0,1327.0,8.2,39.3,13089022203
3155.0,11.0,36.1,63.9,254500.0,1163.0,14.0,22.2,13089022204
752.0,10.2,70.4,29.6,118200.0,1409.0,8.8,38.9,13089023111
2438.0,15.0,9.6,90.4,118000.0,840.0,8.8,46.0,13089023112
1449.0,12.1,35.7,64.3,232800.0,828.0,19.5,36.5,13089023113
951.0,11.7,71.5,28.5,117300.0,1205.0,6.6,43.4,13089023114
2033.0,8.6,70.4,29.6,345500.0,1157.0,11.5,40.3,13089021602
2421.0,7.3,76.8,23.2,345700.0,1312.0,0.0,42.7,13089021704
2622.0,19.3,42.2,57.8,252800.0,1152.0,6.9,63.8,13089021705
2142.0,8.1,63.6,36.4,199800.0,1222.0,10.6,43.3,13089022001
1126.0,2.0,5.8,94.2,150000.0,1053.0,18.0,41.1,13089022007
2027.0,8.9,63.0,37.0,581300.0,1496.0,4.8,39.8,13089022401
1573.0,6.2,41.6,58.4,167200.0,772.0,9.5,34.4,13089022100
923.0,28.8,15.4,84.6,152500.0,925.0,2.3,56.0,13121005700
1864.0,19.0,39.6,60.4,215800.0,852.0,9.9,41.7,13121006000
617.0,24.6,30.1,69.9,108100.0,851.0,15.8,40.8,13121006602
1831.0,5.5,79.7,20.3,561100.0,1143.0,10.9,39.2,13089022700
2577.0,12.7,73.1,26.9,139800.0,1286.0,1.7,41.1,13089023204
2555.0,17.8,72.0,28.0,111500.0,1103.0,34.2,45.0,13089023506
2623.0,20.4,79.9,20.1,139000.0,856.0,21.5,65.4,13089023412
2623.0,6.5,59.1,40.9,152400.0,1290.0,6.7,36.3,13089023416
1838.0,17.7,54.0,46.0,345200.0,1133.0,10.5,36.3,13089020500
2969.0,7.6,67.4,32.6,306300.0,1158.0,3.9,32.9,13089020900
1231.0,14.1,67.8,32.2,352400.0,965.0,30.3,28.8,13089020700
857.0,9.0,0.0,100.0,-666666666.0,1037.0,12.9,59.0,13089021204
1239.0,2.7,98.4,1.6,577300.0,-666666666.0,0.0,47.4,13089021213
2755.0,5.4,70.4,29.6,220100.0,1066.0,2.9,44.9,13089021805
1795.0,11.0,72.2,27.8,156600.0,1218.0,15.8,29.7,13089022004
2514.0,4.8,43.1,56.9,111300.0,1072.0,17.6,46.1,13089023208
